Season,Champion(s),Record,Coach,Selector(s)
2004,USCc,11–0d,Pete Carroll, CM
2004,USCc,11–0d,Pete Carroll, DeS
2004,USCc,11–0d,Pete Carroll, DuS
2004,USCc,11–0d,Pete Carroll, ERS
2004,USCc,11–0d,Pete Carroll, MCFR
2004,USCc,11–0d,Pete Carroll, MGR
2004,USCc,11–0d,Pete Carroll, NFF
2004,USCc,11–0d,Pete Carroll, NYT
2004,USCc,11–0d,Pete Carroll, R(FACT)
2004,USCc,11–0d,Pete Carroll, SN
2004,USCc,11–0d,Pete Carroll, SR
2004,USCc,11–0d,Pete Carroll, W Vacated:c BCS
2004,USCc,11–0d,Pete Carroll, FWAA
2004,USCc,11–0d,Pete Carroll, USAT/ESPN
2005,Texas,13–0,Mack Brown,A&H
2005,Texas,13–0,Mack Brown, AP
2005,Texas,13–0,Mack Brown, B(QPRS)
2005,Texas,13–0,Mack Brown, BCS
2005,Texas,13–0,Mack Brown, BR
2005,Texas,13–0,Mack Brown, CCR
2005,Texas,13–0,Mack Brown, CM
2005,Texas,13–0,Mack Brown, DeS
2005,Texas,13–0,Mack Brown, DuS
2005,Texas,13–0,Mack Brown, ERS
2005,Texas,13–0,Mack Brown, FWAA
2005,Texas,13–0,Mack Brown, MCFR
2005,Texas,13–0,Mack Brown, MGR
2005,Texas,13–0,Mack Brown, NFF
2005,Texas,13–0,Mack Brown, R(FACT)
2005,Texas,13–0,Mack Brown, SN
2005,Texas,13–0,Mack Brown, SR
2005,Texas,13–0,Mack Brown, USAT
2005,Texas,13–0,Mack Brown, W
2006,Florida,13–1,Urban Meyer,A&H
2006,Florida,13–1,Urban Meyer, AP
2006,Florida,13–1,Urban Meyer, B(QPRS)
2006,Florida,13–1,Urban Meyer, BCS
2006,Florida,13–1,Urban Meyer, BR
2006,Florida,13–1,Urban Meyer, CCR
2006,Florida,13–1,Urban Meyer, CM
2006,Florida,13–1,Urban Meyer, DuS
2006,Florida,13–1,Urban Meyer, FWAA
2006,Florida,13–1,Urban Meyer, MCFR
2006,Florida,13–1,Urban Meyer, MGR
2006,Florida,13–1,Urban Meyer, NFF
2006,Florida,13–1,Urban Meyer, R(FACT)
2006,Florida,13–1,Urban Meyer, SN
2006,Florida,13–1,Urban Meyer, SR
2006,Florida,13–1,Urban Meyer, USAT
2006,Florida,13–1,Urban Meyer, W
2006,Ohio State,12–1,Jim Tressel,DeS
2006,Ohio State,12–1,Jim Tressel, R(FACT)
2007,LSU,12–2,Les Miles,AP
2007,LSU,12–2,Les Miles, B(QPRS)
2007,LSU,12–2,Les Miles, BCS
2007,LSU,12–2,Les Miles, BR
2007,LSU,12–2,Les Miles, CCR
2007,LSU,12–2,Les Miles, CM
2007,LSU,12–2,Les Miles, FWAA
2007,LSU,12–2,Les Miles, MCFR
2007,LSU,12–2,Les Miles, NFF
2007,LSU,12–2,Les Miles, SR
2007,LSU,12–2,Les Miles, USAT
2007,LSU,12–2,Les Miles, W
2007,Missouri,12–2,Gary Pinkel,A&H
2007,USC,11–2,Pete Carroll,DuSe
2008,Florida,13–1,Urban Meyer,AP
2008,Florida,13–1,Urban Meyer, B(QPRS)
2008,Florida,13–1,Urban Meyer, BCS
2008,Florida,13–1,Urban Meyer, BR
2008,Florida,13–1,Urban Meyer, CCR
2008,Florida,13–1,Urban Meyer, CM
2008,Florida,13–1,Urban Meyer, DuS
2008,Florida,13–1,Urban Meyer, FWAA
2008,Florida,13–1,Urban Meyer, NFF
2008,Florida,13–1,Urban Meyer, SR
2008,Florida,13–1,Urban Meyer, USAT
2008,Utah,13–0,Kyle Whittingham,A&H
2008,Utah,13–0,Kyle Whittingham, MCFR
2008,Utah,13–0,Kyle Whittingham, W
2009,Alabama,14–0,Nick Saban,A&H
2009,Alabama,14–0,Nick Saban, AP
2009,Alabama,14–0,Nick Saban, B(QPRS)
2009,Alabama,14–0,Nick Saban, BCS
2009,Alabama,14–0,Nick Saban, BR
2009,Alabama,14–0,Nick Saban, CCR
2009,Alabama,14–0,Nick Saban, CFRA
2009,Alabama,14–0,Nick Saban, CM
2009,Alabama,14–0,Nick Saban, DuS
2009,Alabama,14–0,Nick Saban, FWAA
2009,Alabama,14–0,Nick Saban, MCFR
2009,Alabama,14–0,Nick Saban, NFF
2009,Alabama,14–0,Nick Saban, SR
2009,Alabama,14–0,Nick Saban, USAT
2009,Alabama,14–0,Nick Saban, W
2010,Auburn,14–0,Gene Chizik,A&H
2010,Auburn,14–0,Gene Chizik, AP
2010,Auburn,14–0,Gene Chizik, B(QPRS)
2010,Auburn,14–0,Gene Chizik, BCS
2010,Auburn,14–0,Gene Chizik, BR
2010,Auburn,14–0,Gene Chizik, CFRA
2010,Auburn,14–0,Gene Chizik, CM
2010,Auburn,14–0,Gene Chizik, DuS
2010,Auburn,14–0,Gene Chizik, FWAA
2010,Auburn,14–0,Gene Chizik, MCFR
2010,Auburn,14–0,Gene Chizik, NFF
2010,Auburn,14–0,Gene Chizik, SR
2010,Auburn,14–0,Gene Chizik, USAT
2010,Auburn,14–0,Gene Chizik, W
2010,TCU,13–0,Gary Patterson,CCR
2011,Alabama,12–1,Nick Saban,AP
2011,Alabama,12–1,Nick Saban, B(QPRS)
2011,Alabama,12–1,Nick Saban, BCS
2011,Alabama,12–1,Nick Saban, BR
2011,Alabama,12–1,Nick Saban, CFRA
2011,Alabama,12–1,Nick Saban, DuS
2011,Alabama,12–1,Nick Saban, FWAA
2011,Alabama,12–1,Nick Saban, MCFR
2011,Alabama,12–1,Nick Saban, NFF
2011,Alabama,12–1,Nick Saban, SR
2011,Alabama,12–1,Nick Saban, USAT
2011,Alabama,12–1,Nick Saban, W
2011,LSU,13–1,Les Miles,A&H
2011,LSU,13–1,Les Miles, CCR
2011,Oklahoma State,12–1,Mike Gundy,CM
2012,Alabama,13–1,Nick Saban,A&H
2012,Alabama,13–1,Nick Saban, AP
2012,Alabama,13–1,Nick Saban, BCS
2012,Alabama,13–1,Nick Saban, BR
2012,Alabama,13–1,Nick Saban, CCR
2012,Alabama,13–1,Nick Saban, CFRA
2012,Alabama,13–1,Nick Saban, DuS
2012,Alabama,13–1,Nick Saban, FWAA
2012,Alabama,13–1,Nick Saban, MCFR
2012,Alabama,13–1,Nick Saban, NFF
2012,Alabama,13–1,Nick Saban, SR
2012,Alabama,13–1,Nick Saban, USAT
2012,Alabama,13–1,Nick Saban, W
2012,Notre Dame,12–1,Brian Kelly,CM
2013,Florida State,14–0,Jimbo Fisher,A&H
2013,Florida State,14–0,Jimbo Fisher, AP
2013,Florida State,14–0,Jimbo Fisher, BCS
2013,Florida State,14–0,Jimbo Fisher, BR
2013,Florida State,14–0,Jimbo Fisher, CCR
2013,Florida State,14–0,Jimbo Fisher, CFRA
2013,Florida State,14–0,Jimbo Fisher, CM
2013,Florida State,14–0,Jimbo Fisher, DuS
2013,Florida State,14–0,Jimbo Fisher, FWAA
2013,Florida State,14–0,Jimbo Fisher, MCFR
2013,Florida State,14–0,Jimbo Fisher, NFF
2013,Florida State,14–0,Jimbo Fisher, SR
2013,Florida State,14–0,Jimbo Fisher, USAT
2013,Florida State,14–0,Jimbo Fisher, W
2014,Ohio State,14–1,Urban Meyer,A&H
2014,Ohio State,14–1,Urban Meyer, AP
2014,Ohio State,14–1,Urban Meyer, BR
2014,Ohio State,14–1,Urban Meyer, CCR
2014,Ohio State,14–1,Urban Meyer, CFP
2014,Ohio State,14–1,Urban Meyer, CFRA
2014,Ohio State,14–1,Urban Meyer, CM
2014,Ohio State,14–1,Urban Meyer, DuS
2014,Ohio State,14–1,Urban Meyer, FWAA/NFF
2014,Ohio State,14–1,Urban Meyer, MCFR
2014,Ohio State,14–1,Urban Meyer, SR
2014,Ohio State,14–1,Urban Meyer, USAT/AMWAY
2014,Ohio State,14–1,Urban Meyer, W
2015,Alabama,14–1,Nick Saban,A&H
2015,Alabama,14–1,Nick Saban, AP
2015,Alabama,14–1,Nick Saban, BR
2015,Alabama,14–1,Nick Saban, CCR
2015,Alabama,14–1,Nick Saban, CFP
2015,Alabama,14–1,Nick Saban, CFRA
2015,Alabama,14–1,Nick Saban, CM
2015,Alabama,14–1,Nick Saban, DuS
2015,Alabama,14–1,Nick Saban, FWAA/NFF
2015,Alabama,14–1,Nick Saban, MCFR
2015,Alabama,14–1,Nick Saban, SR
2015,Alabama,14–1,Nick Saban, USAT/AMWAY
2015,Alabama,14–1,Nick Saban, W
2016,Clemson,14–1,Dabo Swinney,A&H
2016,Clemson,14–1,Dabo Swinney, AP
2016,Clemson,14–1,Dabo Swinney, BR
2016,Clemson,14–1,Dabo Swinney, CFP
2016,Clemson,14–1,Dabo Swinney, CFRA
2016,Clemson,14–1,Dabo Swinney, FWAA/NFF
2016,Clemson,14–1,Dabo Swinney, MCFR
2016,Clemson,14–1,Dabo Swinney, SR
2016,Clemson,14–1,Dabo Swinney, USAT/AMWAY
2016,Clemson,14–1,Dabo Swinney, W
2016,Alabama,14–1,Nick Saban,CCR
2016,Alabama,14–1,Nick Saban, CM
2016,Alabama,14–1,Nick Saban, DuS
