original_title,title_length,production_companies
Life of Pi,10,"Ingenious Film Partners, Ingenious Media, Dune Entertainment, Fox 2000 Pictures, Big Screen Productions"
Ice Age: Continental Drift,26,"Blue Sky Studios, Twentieth Century Fox Animation"
Ted,3,"Universal Pictures, Media Rights Capital, Fuzzy Door Productions"
Jack Reacher,12,"Paramount Pictures, Mutual Film Company, Skydance Productions, TC Productions"
Lo imposible,12,"Summit Entertainment, Telecinco Cinema, Apaches Entertainment, Canal+ EspaÃ±a, Instituto de la CinematografÃ­a y de las Artes Audiovisuales (ICAA)"
Wreck-It Ralph,14,Walt Disney Animation Studios
Pitch Perfect,13,Brownstone Productions
Men in Black 3,14,"Amblin Entertainment, Media Magik Entertainment, Imagenation Abu Dhabi FZ, Hemisphere Media Capital, Parkes/MacDonald Productions"
The Hunger Games,16,"Lionsgate, Color Force"
Total Recall,12,Columbia Pictures
Cloud Atlas,11,"Anarchos Productions, X-Filme Creative Pool, Ascension Pictures, ARD Degeto Film, Cloud Atlas Productions"
The Expendables 2,17,"Nu Image Films, Millennium Films"
Taken 2,7,"Twentieth Century Fox Film Corporation, M6 Films, Canal+, Grive Productions, EuropaCorp"
Dark Shadows,12,"Village Roadshow Pictures, Infinitum Nihil, GK Films, Warner Bros., Tim Burton Productions"
The Perks of Being a Wallflower,31,"Summit Entertainment, Mr. Mudd Production"
Argo,4,"GK Films, Warner Bros., Smokehouse Pictures"
American Reunion,16,Universal Pictures
Magic Mike,10,"Nick Wechsler Productions, Extension 765"
The Cabin in the Woods,22,"Lionsgate, Mutant Enemy Productions"
Rise of the Guardians,21,DreamWorks Animation
The Vow,7,"Spyglass Entertainment, Screen Gems"
Journey 2: The Mysterious Island,32,"New Line Cinema, Contrafilm, Walden Media"
Safe,4,"Lawrence Bender Productions, IM Global, Automatik Entertainment, Trigger Street Productions, 87Eleven"
Abraham Lincoln: Vampire Hunter,31,"Bazelevs Production, Tim Burton Productions, Abraham Productions, Location Gourmet"
Upside Down,11,"Onyx Films, Studio 37, Jouror Productions, France 2 CinÃ©ma, Transfilm"
The Lorax,9,"Universal Pictures, Illumination Entertainment"
Moonrise Kingdom,16,"Scott Rudin Productions, Indian Paintbrush, American Empirical Pictures, Moonrise"
Dredd,5,"DNA Films, Reliance BIG Entertainment, IM Global, Rena Film, Peach Trees"
Battleship,10,"Universal Pictures, Hasbro, Bluegrass Films, Film 44"
Les MisÃ©rables,15,"Universal Pictures, Relativity Media, CAMERON MACKINTOSH, Working Title Films"
Mirror Mirror,13,"Relativity Media, Misher Films, Yucaipa Films, Goldmann Pictures, Rat Entertainment"
John Carter,11,Walt Disney Pictures
Looper,6,"Endgame Entertainment, FilmDistrict, DMG Entertainment, Ram Bergman Productions"
The Twilight Saga: Breaking Dawn - Part 2,41,"Summit Entertainment, Sunswept Entertainment, Temple Hill Entertainment"
Zero Dark Thirty,16,"Columbia Pictures, Annapurna Pictures, First Light Production"
Haywire,7,"Irish Film Board, Relativity Media"
Wrath of the Titans,19,"Legendary Pictures, Thunder Road Pictures, Warner Bros., Cott Productions, Furia de Titanes II, A.I.E."
Step Up Revolution,18,Summit Entertainment
Chronicle,9,"Twentieth Century Fox Film Corporation, Dune Entertainment, Davis Entertainment, Adam Schroeder Productions"
Act of Valor,12,"Relativity Media, Bandito Brothers"
Hotel Transylvania,18,"Columbia Pictures, Sony Pictures Animation"
End of Watch,12,"Emmett/Furla Films, Exclusive Media Group, Hedge Fund Film Partners, Crave Films, Knightsbridge Entertainment"
What to Expect When You're Expecting,36,"Alcon Entertainment, Lionsgate, Phoenix Pictures, What to Expect Productions"
The Dictator,12,Paramount Pictures
Project X,9,"Silver Pictures, Green Hat Films"
Contraband,10,"Universal Pictures, StudioCanal, Relativity Media, Leverage Management, Closest to the Hole Productions"
Madagascar 3: Europe's Most Wanted,34,DreamWorks Animation
Lawless,7,"The Weinstein Company, Benaroya Pictures, Yucaipa Films, Annapurna Pictures, Pie Films Inc."
The Raven,9,Relativity Media
Rock of Ages,12,"New Line Cinema, Corner Store Entertainment"
Stolen,6,"Saturn Films, Nu Image Films, Millennium Films"
The Pirates! In an Adventure with Scientists!,45,"Columbia Pictures, Aardman Animations, Sony Pictures Animation"
The Master,10,"Ghoulardi Film Company, The Weinstein Company, Annapurna Pictures"
The Five-Year Engagement,24,"Universal Pictures, Dentsu, Relativity Media, Apatow Productions, Stoller Global Solutions"
This Is 40,10,Apatow Productions
Lockout,7,"Canal+, EuropaCorp, CinÃ©+"
Wanderlust,10,"Relativity Media, Apatow Productions, A Hot Dog"
The Woman in Black,18,"Hammer Film Productions, UK Film Council, Alliance Films, Film i VÃ¤st, Talisman Productions"
Frankenweenie,13,"Walt Disney Pictures, Tim Burton Animation Company, Tim Burton Productions"
That's My Boy,13,"Columbia Pictures, Happy Madison Productions, Relativity Media"
Safe House,10,"Universal Pictures, Dentsu, Relativity Media, Bluegrass Films"
Savages,7,"Ixtlan, Relativity Media, Onda Entertainment"
Man on a Ledge,14,"Summit Entertainment, Di Bonaventura Picture"
Seven Psychopaths,17,"Blueprint Pictures, CBS Films, British Film Institute (BFI), Film4"
Big Miracle,11,"Universal Pictures, Anonymous Content, Working Title Films"
Disconnect,10,"Lionsgate, Liddell Entertainment, LD Entertainment, Wonderful Films PLC, Exclusive Media Group"
People Like Us,14,"DreamWorks SKG, Touchstone Pictures"
Piranha 3DD,11,"Dimension Films, Mark Canton Productions, Intellectual Properties Worldwide"
The Possession,14,"Ghost House Pictures, North Box Productions"
Silent Hill: Revelation 3D,26,"Davis-Films, Konami Corporation Ltd."
Killing Them Softly,19,"Plan B Entertainment, 1984 Private Defense Contractors, Annapurna Pictures, Inferno Entertainment, Chockstone Pictures"
The Cold Light of Day,21,"Summit Entertainment, Intrepid Pictures, Film Rites, Galavis Film, Picture Machine"
Arbitrage,9,"Lionsgate, Artina Films, Lucky Monkey Pictures, Green Room Films, Treehouse Pictures"
Red Dawn,8,"Contrafilm, FilmDistrict"
The Three Stooges,17,Wessler Entertainment
Hope Springs,12,"Columbia Pictures, Mandate Pictures, Escape Artists, Management 360, Metro-Goldwyn-Mayer (MGM)"
A Thousand Words,16,"Paramount Pictures, DreamWorks SKG, Saturn Films, Varsity Pictures"
Alex Cross,10,Summit Entertainment
One for the Money,17,"Lakeshore Entertainment, Sidney Kimmel Entertainment"
Quartet,7,Headline Pictures
ParaNorman,10,"Focus Features, Laika Entertainment"
Promised Land,13,"Participant Media, Imagenation Abu Dhabi FZ, Focus Features, Media Farm, Sunday Night"
Diary of a Wimpy Kid: Dog Days,30,Fox 2000 Pictures
For Greater Glory - The True Story of Cristiada,47,Dos Corazones
Red Tails,9,"Twentieth Century Fox Film Corporation, Lucasfilm Ltd., Partnership Pictures"
Fun Size,8,"Paramount Pictures, Nickelodeon Movies, Anonymous Content, Fake Empire"
Premium Rush,12,Pariah Entertainment Group
The Words,9,"Serenade Films, CBS Films, Also Known As Pictures"
Paranormal Activity 4,21,"Paramount Pictures, Blumhouse Productions, Room 101, Solana Films"
On the Road,11,"American Zoetrope, France 2 CinÃ©ma, VideoFilmes, Vanguard Films, Canal+"
Parental Guidance,17,"20th Century Fox, Chernin Entertainment, Walden Media"
Think Like a Man,16,"Rainforest Films, Screen Gems, Studio Mir"
Fire with Fire,14,"Industry Entertainment, Grindstone Entertainment Group, Cheetah Vision, Mandalay Vision, Paradox Entertainment"
The Apparition,14,"StudioCanal, Dark Castle Entertainment, Warner Bros., Studio Babelsberg Motion Pictures"
Cosmopolis,10,"France 2 CinÃ©ma, TÃ©lÃ©film Canada, Rai Cinema, Prospero Pictures, Alfama Films"
Resident Evil: Retribution,26,Davis-Films
Sparkle,7,"TriStar Pictures, Phoenix Pictures, Stage 6 Films, Akil Production Company"
Katy Perry: Part of Me,22,"Paramount Pictures, Imagine Entertainment, MTV Films, Insurge Pictures"
The Lord of the Rings: The Return of the King,45,"WingNut Films, New Line Cinema"
Underworld,10,"Lakeshore Entertainment, Laurinfilm, Subterranean Productions LLC, Subterranean Productions UK Ltd., Underworld Produktions GmbH"
Pirates of the Caribbean: The Curse of the Black Pearl,54,"Walt Disney Pictures, Jerry Bruckheimer Films"
Kill Bill: Vol. 1,17,"Miramax Films, A Band Apart, Super Cool ManChu"
The Matrix Revolutions,22,"Village Roadshow Pictures, NPV Entertainment, Silver Pictures, Warner Bros."
The Matrix Reloaded,19,"Village Roadshow Pictures, NPV Entertainment, Heineken Branded Entertainment, Silver Pictures, Warner Bros."
Finding Nemo,12,"Walt Disney Pictures, Pixar Animation Studios, Disney Enterprises"
Bruce Almighty,14,"Universal Pictures, Spyglass Entertainment, Shady Acres Entertainment, Pit Bull Productions"
Love Actually,13,DNA Films
Elf,3,"New Line Cinema, Gold/Miller Productions, Guy Walks into a Bar Productions"
Terminator 3: Rise of the Machines,34,"Columbia Pictures, Intermedia Films, Warner Bros., C-2 Pictures, IMF Internationale Medien und Film GmbH & Co. 3. Produktions KG"
Big Fish,8,"The Zanuck Company, Columbia Pictures Corporation, Jinks/Cohen Company, Tim Burton Productions"
Daredevil,9,"Twentieth Century Fox Film Corporation, Regency Enterprises, Epsilon Motion Pictures, New Regency Pictures, Marvel Enterprises"
American Wedding,16,"Universal Pictures, Zide-Perry Productions, LivePlanet, Loumolo & Co."
The League of Extraordinary Gentlemen,37,"Twentieth Century Fox Film Corporation, JD Productions, International Production Company, Angry Films, Mediastream Dritte Film GmbH & Co. Beteiligungs KG"
The Italian Job,15,"Paramount Pictures, De Line Pictures, Working Title Films"
The Jungle Book 2,17,"Walt Disney Pictures, Walt Disney Television Animation, Walt Disney Animation Australia, DisneyToon Studios"
Bad Santa,9,"Columbia Pictures, Dimension Films (US version)"
Johnny English,14,"Universal Pictures, StudioCanal"
Peter Pan,9,"Columbia Pictures, Universal Pictures, Revolution Studios, Quinta Communications"
Scary Movie 3,13,"Dimension Films, Brad Grey Pictures"
Honey,5,"Universal Pictures, Marc Platt Productions, NuAmerica Entertainment"
A Man Apart,11,"New Line Cinema, Newman/Tooley Films, Joseph Nittolo Entertainment, ""DIA"" Productions GmbH & Co. KG"
The School of Rock,18,Paramount Pictures
The Last Samurai,16,"Cruise/Wagner Productions, Warner Bros., Radar Pictures, Bedford Falls Company, The"
Bad Boys II,11,"Columbia Pictures Corporation, Don Simpson/Jerry Bruckheimer Films"
Lara Croft Tomb Raider: The Cradle of Life,42,"Paramount Pictures, Toho-Towa, Mutual Film Company, Lawrence Gordon Productions, British Broadcasting Corporation (BBC)"
Wrong Turn,10,"Summit Entertainment, Newmarket Capital Group, Regency Enterprises, Constantin Film Produktion, Stan Winston Studio"
Identity,8,"Konrad Pictures, Columbia Pictures Corporation"
Master and Commander: The Far Side of the World,47,"Universal Pictures, Twentieth Century Fox Film Corporation, Samuel Goldwyn Films, Miramax"
Mystic River,12,"Village Roadshow Pictures, Malpaso Productions, NPV Entertainment, Warner Bros."
Anger Management,16,"Columbia Pictures, Revolution Studios, Happy Madison Productions"
The Core,8,"Paramount Pictures, David Foster Productions, Horsepower Films, LivePlanet, Core Productions"
Hulk,4,"Universal Pictures, Good Machine, Valhalla Motion Pictures, Marvel Enterprises"
Once Upon a Time in Mexico,26,"Columbia Pictures Corporation, Dimension Films, Troublemaker Studios"
Old School,10,"DreamWorks SKG, The Montecito Picture Company"
How to Lose a Guy in 10 Days,28,Paramount Pictures
Shanghai Knights,16,"Spyglass Entertainment, Touchstone Pictures, Birnbaum / Barber Productions, Jackie Chan Films Limited, All Knight Productions"
S.W.A.T.,8,"Original Film, Columbia Pictures Corporation, Camelot Pictures, Chris Lee Productions, Illusion Entertainment"
Tears of the Sun,16,"Columbia Pictures, Revolution Studios, Cheyenne Enterprises, Michael Lobell Productions"
"Legally Blonde 2: Red, White & Blonde",37,"Type A Films, Marc Platt Productions, Metro-Goldwyn-Mayer (MGM)"
Freaky Friday,13,Walt Disney Pictures
Timeline,8,"Paramount Pictures, Donners' Company, Mutual Film Company, Cobalt Media Group, Artists Production Group (APG)"
Paycheck,8,"Paramount Pictures, DreamWorks SKG, Davis Entertainment, Lion Rock Productions, Province of British Columbia Film Incentive BC"
Charlie's Angels: Full Throttle,31,"Columbia Pictures Corporation, Wonderland Sound and Vision, Tall Trees Productions, Flower Films (II)"
Something's Gotta Give,22,"Columbia Pictures Corporation, Waverly Films, Warner Bros."
The Haunted Mansion,19,"Walt Disney Pictures, Gunn Films, Doom Buggy Productions"
Gothika,7,"Columbia Pictures Corporation, Dark Castle Entertainment, Warner Bros."
21 Grams,8,"This Is That Productions, Y Productions, Mediana Productions Filmgesellschaft"
Final Destination 2,19,"New Line Cinema, Zide-Perry Productions"
The Texas Chainsaw Massacre,27,"New Line Cinema, Next Entertainment, Platinum Dunes, Radar Pictures, Focus Features"
Cheaper by the Dozen,20,"Twentieth Century Fox Film Corporation, Robert Simonds Productions"
Cold Mountain,13,"Miramax Films, Mirage Enterprises, Castel Film Romania, Bona Fide Productions, Cattleya"
Freddy vs. Jason,16,"New Line Cinema, Cecchi Gori Group Tiger Cinematografica, Avery Pix, Sean S. Cunningham Films, Crystal Lake Entertainment"
Cradle 2 the Grave,18,"Silver Pictures, Warner Bros."
Looney Tunes: Back in Action,28,"Lonely Film Productions GmbH & Co. KG., Warner Bros. Animation, Warner Bros., Goldmann Pictures, Baltimore Spring Creek Productions"
Basic,5,"Intermedia Films, Krane Entertainment"
The Rundown,11,"Columbia Pictures, Universal Pictures, WWE Studios"
2 Fast 2 Furious,16,"Mikona Productions GmbH & Co. KG, Universal Pictures, Original Film, Ardustry Entertainment"
Open Range,10,"Tig Productions, Touchstone Pictures, Beacon Pictures, Cobalt Media Group"
Just Married,12,"Twentieth Century Fox Film Corporation, Robert Simonds Productions, Mediastream Dritte Film GmbH & Co. Beteiligungs KG"
Daddy Day Care,14,"Columbia Pictures, Revolution Studios, Davis Entertainment"
Seabiscuit,10,"Universal Pictures, Spyglass Entertainment, The Kennedy/Marshall Company, DreamWorks Pictures, Touchstone Pictures"
Out of Time,11,"Original Film, Monarch Pictures, Metro-Goldwyn-Mayer (MGM)"
Jeepers Creepers 2,18,"United Artists, American Zoetrope, Myriad Pictures, Jeepers Creepers II"
The Lizzie McGuire Movie,24,Walt Disney Pictures
Dreamcatcher,12,"Village Roadshow Pictures, Castle Rock Entertainment, NPV Entertainment, Kasdan Pictures, WV Films II"
Spy Kids 3-D: Game Over,23,Dimension Films
Down with Love,14,"Regency Enterprises, Fox 2000 Pictures, Epsilon Motion Pictures, Mediastream Dritte Film, Jinks/Cohen Company"
The Order,9,"Twentieth Century Fox Film Corporation, N1 European Film Produktions GmbH & Co. KG, Baumgarten Merims Productions"
Intolerable Cruelty,19,"Imagine Entertainment, Universal Pictures, Mike Zoss Productions, Alphaville Productions"
The Hunted,10,"Lakeshore Entertainment, Alphaville Films"
Runaway Jury,12,"Regency Enterprises, Epsilon Motion Pictures, New Regency Pictures"
Monster,7,Newmarket Films
Bringing Down The House,23,"Hyde Park Films, Touchstone Pictures"
Gigli,5,"City Light Films, Revolution Studios, Casey Silver Productions"
Gods and Generals,17,"Turner Pictures, Antietam Filmworks"
Dumb and Dumberer: When Harry Met Lloyd,39,New Line Cinema
Uptown Girls,12,"GreeneStreet Films, Metro-Goldwyn-Mayer (MGM)"
The Life of David Gale,22,"Universal Pictures, Intermedia Films, Saturn Films"
House of the Dead,17,"Boll Kino Beteiligungs GmbH & Co. KG, Brightlight Pictures, Herold Productions, Mindfire Entertainment"
House of 1000 Corpses,21,"Universal Pictures, Spectacle Entertainment Group"
A Guy Thing,11,"Metro-Goldwyn-Mayer (MGM), David Ladd Films"
Radio,5,"Revolution Studios, Tollin/Robbins Productions"
Young Adam,10,Recorded Picture Company (RPC)
Swimming Pool,13,"France 2 CinÃ©ma, Canal Plus, FidÃ©litÃ© Productions, Gimages, FOZ"
A Mighty Wind,13,Castle Rock Entertainment
Calendar Girls,14,"Harbour Pictures, Touchstone Pictures"
Agent Cody Banks,16,"Splendid Pictures, Maverick Films, Metro-Goldwyn-Mayer (MGM), Dylan Sellers Productions, Madacy Entertainment"
Ghosts of the Abyss,19,"Walt Disney Pictures, Walden Media, Earthship Productions"
Stuck on You,12,"Twentieth Century Fox Film Corporation, Conundrum Entertainment"
X2,2,"Twentieth Century Fox Film Corporation, Donners' Company, Bad Hat Harry Productions, Marvel Enterprises, XM2 Productions"
Wonderland,10,Lions Gate Films
Alex & Emma,11,"Epsilon Motion Pictures, Franchise Pictures, Escape Artists, Reiner-Greisman"
From Justin to Kelly,20,20th Century Fox
Sylvia,6,Focus Films
Frozen,6,"Walt Disney Pictures, Walt Disney Animation Studios"
Gravity,7,"Warner Bros., Heyday Films, Esperanto Filmoj"
Thor: The Dark World,20,Marvel Studios
Iron Man 3,10,Marvel Studios
Now You See Me,14,"Summit Entertainment, K/O Paper Products, SOIXAN7E QUIN5E, See Me Louisiana"
The Hunger Games: Catching Fire,31,"Lionsgate, Color Force"
The Wolf of Wall Street,23,"Paramount Pictures, Appian Way, EMJAG Productions, Red Granite Pictures, Sikelia Productions"
Pacific Rim,11,"Legendary Pictures, Warner Bros., Disney Double Dare You (DDY), Indochina Productions"
Oblivion,8,"Universal Pictures, Chernin Entertainment, Relativity Media, Monolith Pictures (III), Radical Studios"
The Hobbit: The Desolation of Smaug,35,"WingNut Films, New Line Cinema, Metro-Goldwyn-Mayer (MGM)"
Man of Steel,12,"Legendary Pictures, Warner Bros., DC Entertainment, Syncopy, Cruel and Unusual Films"
Her,3,Annapurna Pictures
Despicable Me 2,15,"Universal Pictures, Illumination Entertainment"
Star Trek Into Darkness,23,"Paramount Pictures, Skydance Productions, Bad Robot, Kurtzman/Orci"
12 Years a Slave,16,"Plan B Entertainment, Regency Enterprises, River Road Entertainment, Film4, New Regency Pictures"
Riddick,7,"One Race Productions, Radar Pictures, Riddick Canada Productions"
The Conjuring,13,"New Line Cinema, The Safran Company, Evergreen Media Group"
The Great Gatsby,16,"Village Roadshow Pictures, Bazmark Films, Warner Bros., A&E Television Networks, Red Wagon Entertainment"
Elysium,7,"TriStar Pictures, Media Rights Capital, Sony Pictures Entertainment (SPE), QED International, Alpha Core"
A Good Day to Die Hard,22,"Ingenious Media, Twentieth Century Fox Film Corporation, Dune Entertainment, Mid Atlantic Films, Big Screen Productions"
Monsters University,19,"Walt Disney Pictures, Pixar Animation Studios"
World War Z,11,"Paramount Pictures, GK Films, Skydance Productions, Hemisphere Media Capital, Apparatus Productions"
The Secret Life of Walter Mitty,31,"New Line Cinema, Ingenious Media, Twentieth Century Fox Film Corporation, Samuel Goldwyn Films, Big Screen Productions"
Ender's Game,12,"Summit Entertainment, Chartoff Productions, Odd Lot Entertainment, K/O Paper Products, Digital Domain"
2 Guns,6,"Universal Studios, Marc Platt Productions, Emmett/Furla Films, Envision Entertainment Corporation"
Rush,4,"Revolution Films, Working Title Films, Cross Creek Pictures, Exclusive Media Group, Double Negative"
Olympus Has Fallen,18,"Nu Image Films, Millennium Films"
Percy Jackson: Sea of Monsters,30,"1492 Pictures, Dune Entertainment, Fox 2000 Pictures, Sunswept Entertainment, Dune Entertainment III"
Prisoners,9,"Alcon Entertainment, Madhouse Entertainment, 8:38 Productions"
American Hustle,15,"Columbia Pictures, Atlas Entertainment, Annapurna Pictures"
Warm Bodies,11,Summit Entertainment
Hansel & Gretel: Witch Hunters,30,"Paramount Pictures, Studio Babelsberg, MTV Films, Gary Sanchez Productions, Metro-Goldwyn-Mayer (MGM)"
47 Ronin,8,"Mid Atlantic Films, Stuber Productions, Universal, Moving Picture Company (MPC), H2F Entertainment"
The Mortal Instruments: City of Bones,37,"Constantin Film Produktion, Don Carmody Productions, Unique Features, Mr. Smith Productions"
Epic,4,"Blue Sky Studios, Twentieth Century Fox Animation"
Lone Survivor,13,"Universal Pictures, Weed Road Pictures, Herrick Entertainment, Leverage Management, Closest to the Hole Productions"
Dallas Buyers Club,18,"Universal Studios, Universal Pictures, Voltage Pictures, Truth Entertainment"
R.I.P.D.,8,"Universal Pictures, Original Film, Dark Horse Entertainment"
Planes,6,"Walt Disney Pictures, Walt Disney Animation Studios"
Spring Breakers,15,"RabbitBandini Productions, Division Films, Pop Films, Radar Pictures, Muse Productions"
The Call,8,"TriStar Pictures, WWE Studios, Troika Pictures, Emergency Films, Apotheosis Media Group"
Evil Dead,9,"TriStar Pictures, Ghost House Pictures, FilmDistrict"
Last Vegas,10,"Laurence Mark Productions, CBS Films, Outlaw Sinema, Good Universe, Gidden Media"
The Family,10,"Canal Plus, TF1 Films Production, Grive Productions, EuropaCorp, Relativity Media"
The Place Beyond the Pines,26,"Sidney Kimmel Entertainment, Electric City Entertainment, Verisimilitude"
Grown Ups 2,11,"Columbia Pictures, Happy Madison Productions, Sony Pictures Entertainment (SPE)"
The Hangover Part III,21,"Legendary Pictures, Green Hat Films"
The Croods,10,DreamWorks Animation
Homefront,9,"Millennium Films, Open Road Films"
Escape Plan,11,"Summit Entertainment, Atmosphere Entertainment MM, Emmett/Furla Films, Mark Canton Productions, Envision Entertainment"
Carrie,6,"Screen Gems, Metro-Goldwyn-Mayer (MGM), Misher Films"
Captain Phillips,16,Columbia Pictures
The Counselor,13,"Ingenious Media, Fox 2000 Pictures, Scott Free Productions, Kanzaman, Nick Wechsler Productions"
White House Down,16,"Columbia Pictures, Centropolis Entertainment, Iron Horse Entertainment (II), Mythology Entertainment (II)"
Begin Again,11,"Likely Story, Apatow Productions, Exclusive Media Group, Sycamore Pictures"
The Big Wedding,15,"Millenium Films, Two Ton Films"
Jack the Giant Slayer,21,"New Line Cinema, Original Film, Legendary Pictures, Warner Bros., Big Kid Pictures"
Runner Runner,13,"20th Century Fox, Double Feature Films, Appian Way, Stone Village Pictures, New Regency Pictures"
Bullet to the Head,18,"Dark Castle Entertainment, After Dark Films, IM Global, Automatik Entertainment, Silver Reel"
What If,7,"Fastnet Films, Caramel Film, No Trace Camping"
Delivery Man,12,"DreamWorks SKG, Touchstone Pictures"
This Is the End,15,"Columbia Pictures, Mandate Pictures, Sony Pictures Entertainment (SPE), Point Grey Pictures"
Jackass Presents: Bad Grandpa,29,"Paramount Pictures, MTV Films, Dickhouse Productions"
Parker,6,SND
After Earth,11,"Columbia Pictures, Blinding Edge Pictures, Overbrook Entertainment"
The Heat,8,"Ingenious Film Partners, Ingenious Media, Twentieth Century Fox Film Corporation, Chernin Entertainment, Big Screen Productions"
Saving Mr. Banks,16,"Walt Disney Pictures, BBC Films, Ruby Films, Essential Media & Entertainment, Hopscotch Features"
Oculus,6,"Intrepid Pictures, Blumhouse Productions, Relativity Media, WWE Studios, MICA Entertainment"
The Lone Ranger,15,"Walt Disney Pictures, Jerry Bruckheimer Films, Infinitum Nihil, Silver Bullet Productions (II), Blind Wink Productions"
Gangster Squad,14,"Village Roadshow Pictures, Lin Pictures, Warner Bros., Langley Park Production"
Identity Thief,14,"Stuber Productions, Aggregate Films, DumbDumb"
All Is Lost,11,"Sudden Storm Productions, FilmNation Entertainment, Treehouse Pictures, Before the Door Pictures, Washington Square Films"
Texas Chainsaw 3D,17,"Nu Image Films, Lions Gate"
Trance,6,"Cloud Eight Films, PathÃ©, Decibel Films, Film4"
Anchorman 2: The Legend Continues,33,"Paramount Pictures, Gary Sanchez Productions, Apatow Productions"
Oz: The Great and Powerful,26,"Walt Disney Pictures, Roth Films"
Turbo,5,DreamWorks Animation
Redemption,10,Lionsgate
Pain & Gain,11,"Paramount Pictures, De Line Pictures"
The Host,8,"Nick Wechsler Productions, Open Road Films, Silver Reel, Chockstone Pictures"
Oldboy,6,"Vertigo Entertainment, 40 Acres & A Mule Filmworks, Good Universe, OB Productions"
Mama,4,"Universal Pictures, Toma 78, De Milo"
Admission,9,Focus Features
The Butler,10,"Laura Ziskin Productions, Lee Daniels Entertainment, Follow Through Productions, Salamander Pictures, Pam Williams Productions"
Movie 43,8,"Greenestreet Films, Relativity Media, Virgin Produced, Wessler Entertainment, Witness Protection Films"
21 & Over,9,"Relativity Media, Virgin Produced, Mandeville Films, SkyLand Entertainment"
Escape from Planet Earth,24,"Rainmaker Entertainment, Mainframe Entertainment, Weinstein Company, The"
Grudge Match,12,"Gerber Pictures, Warner Bros."
Belle,5,"Isle of Man Film, DJ Films, British Film Institute (BFI), Pinewood Studios, Metrol Technology"
Machete Kills,13,"Open Road Films, Overnight Films, AR Films, Aldamisa Entertainment, Demarest Films"
Safe Haven,10,"Temple Hill Productions, Relativity Media"
The Bling Ring,14,"PathÃ© Distribution, A24"
Empire State,12,"Grindstone Entertainment Group, Cheetah Vision, Voltage Pictures, Emmett/Furla Films, Envision Entertainment Corporation"
Behind the Candelabra,21,HBO Films
Cloudy with a Chance of Meatballs 2,35,"Columbia Pictures, Sony"
Blue Jasmine,12,Perdido Productions
Side Effects,12,"Di Bonaventura Pictures, Endgame Entertainment, Universal, Open Road Films"
La migliore offerta,19,"Paco Cinematografica, Warner Bros., Regione Lazio, Business Location Sudtirol Alto Adige, Friuli Venezia Giulia Film Commission"
The Incredible Burt Wonderstone,31,"New Line Cinema, Benderspink, Carousel Productions"
Mud,3,"FilmNation Entertainment, Everest Entertainment"
The Railway Man,15,"Archer Street Productions, Lionsgate, Pictures in Paradise, Silver Reel, Latitude Media"
Broken City,11,"Regency Enterprises, Inferno International, 1984 Private Defense Contractors, Closest to the Hole Productions, New Regency Pictures"
Walking With Dinosaurs,22,20th Century Fox
The Frozen Ground,17,"Grindstone Entertainment Group, Cheetah Vision, K5 International, Paradox Entertainment, Emmett/Furla Films"
The Smurfs 2,12,"Columbia Pictures, Sony Pictures Animation, Kerner Entertainment Company, Hemisphere Media Capital, NeoReel"
42,2,Warner Bros.
The Fifth Estate,16,"DreamWorks SKG, Participant Media, Reliance Entertainment, Touchstone Pictures, Anonymous Content"
Blood Ties,10,"Wild Bunch, LGM Productions, Les Productions du TrÃ©sor, Mars Distribution, Canal+"
The Wolverine,13,"Twentieth Century Fox Film Corporation, Donners' Company, Marvel Entertainment, Bad Hat Harry Productions, Big Screen Productions"
Snitch,6,"Front Street Productions, Participant Media, Imagenation Abu Dhabi FZ, Exclusive Media Group, Spitfire Pictures"
Free Birds,10,"Reel FX Creative Studios, Relativity Media"
Nebraska,8,"Paramount Vantage, Bona Fide Productions"
Scary Movie 5,13,Dimension Films
Man of Tai Chi,14,"Universal Pictures, Village Roadshow Pictures, China Film Group Corporation (CFGC), Company Films, Dalian Wanda Group"
Baggage Claim,13,Sneak Preview Productions
August: Osage County,20,"Jean Doumanian Productions, Smokehouse Pictures"
Paranormal Activity: The Marked Ones,36,"Blumhouse Productions, Room 101, Solana Films"
Jobs,4,"Open Road Films, Dillywood, Five Star Institute, Silver Reel"
Paranoia,8,"Gaumont, Kintop Pictures, Reliance Entertainment, Relativity Media, IM Global"
Out of the Furnace,18,"Appian Way, Scott Free Productions, Relativity Media, Energy Entertainment, Red Granite Pictures"
Fast & Furious 6,16,"Universal Pictures, Original Film, One Race Productions, Dentsu, Relativity Media"
Battle of the Year,18,Screen Gems
Khumba,6,Triggerfish Animation
Black Nativity,14,"Fox Searchlight Pictures, Fox Searchlight"
Metallica: Through the Never,28,"Exclusive Media Group, Picturehouse Entertainment"
Legends of Oz: Dorothy's Return,31,"Prana Animation Studios, Summertime Entertainment"
The East,8,Scott Free Productions
The Best Man Holiday,20,Universal
The Last Exorcism Part II,25,"StudioCanal, CBS Films"
Mandela: Long Walk to Freedom,29,"Distant Horizons, Film Afrika Worldwide, Videovision Entertainment, Pathe, Origin Pictures"
Philomena,9,"BBC Films, The Weinstein Company, Baby Cow Productions, PathÃ©, Yucaipa Films"
Diana,5,"Ecosse Films, Le Pacte, Scope Pictures, Film i VÃ¤st, Filmgate Films"
